Seed	Size	Fitness	Members
Q0045	11	0.836315576	YDL067C,YGL191W,YMR256C,YLR395C,YNL052W,YHR051W,YGL187C,Q0275,Q0250,YLR203C
Q0080	15	0.972873572	YDL004W,YDR322C-A,YLR295C,YML081C-A,YOL077W-A,YPR020W,YPL271W,YDR377W,Q0130,YBL099W,YDR298C,YKL016C,Q0085,YPL078C
Q0085	15	0.923268212	YDL004W,YDR322C-A,YLR295C,YML081C-A,YOL077W-A,YPR020W,YPL271W,YDR377W,Q0130,YDR298C,YKL016C,YBL099W,Q0080,YPL078C
Q0105	10	0.717089515	YGR183C,YHR001W-A,YFR033C,YEL024W,YDR529C,YBL045C,YPR191W,YJL166W,YNR018W
Q0130	15	0.913011146	YDL004W,YDR322C-A,YLR295C,YML081C-A,YOL077W-A,YPR020W,YPL271W,YDR377W,YDR298C,YKL016C,Q0080,Q0085,YBL099W,YPL078C
Q0140	30	0.973711836	YBL090W,YBR146W,YBR251W,YDL045W-A,YDR041W,YDR175C,YDR337W,YDR347W,YER050C,YGL129C,YGR084C,YGR165W,YGR215W,YHL004W,YIL093C,YJR101W,YJR113C,YKL003C,YKL155C,YMR158W,YMR188C,YNL081C,YNL137C,YNL306W,YNR037C,YOR158W,YPL013C,YPL118W,YPR166C
Q0250	11	0.764229378	YDL067C,YGL191W,YNL052W,YMR256C,YLR395C,YHR051W,YGL187C,Q0275,Q0045,YLR203C
Q0275	11	0.768938062	YDL067C,YNL052W,YGL191W,YMR256C,YLR395C,YHR051W,YGL187C,Q0250,Q0045,YLR203C
YAL002W	7	0.645097069	YDR495C,YLR396C,YLR148W,YMR231W,YPL045W,YDL077C
YAL003W	4	0.364991693	YPL048W,YPR080W,YBR118W
YAL005C	13	0.447755247	YBL075C,YHR064C,YJL034W,YEL030W,YER103W,YLR369W,YBR169C,YNL209W,YPL106C,YLL024C,YDL229W,YGR285C
YAL007C	9	0.690341201	YAR002C-A,YGL200C,YML012W,YAL042W,YGL002W,YOR016C,YDL018C,YHR110W
YAL009W	2	0.075153948	YHR004C
YAL010C	4	0.25082733	YLL006W,YOL009C,YNL026W
YAL011W	15	0.450017006	YLR385C,YLR085C,YDR485C,YDR334W,YBR231C,YML041C,YNL107W,YGR002C,YPL235W,YDR190C,YFL039C,YJL081C,YDL002C,YFL013C
YAL013W	14	0.727565797	YIL084C,YKL185W,YNL097C,YPL181W,YBR095C,YMR263W,YOL004W,YNL330C,YPL139C,YDR207C,YMR075W,YMR176W,YJR094C
YAL016W	9	0.272907422	YDL134C,YGL190C,YOR014W,YMR028W,YPL152W,YDL188C,YML109W,YMR273C
YAL017W	84	0.841762005	YBL105C,YGR188C,YHR205W,YNL298W,YOL113W,YGR092W,YDL101C,YHL007C,YDR122W,YLR096W,YLR362W,YNL161W,YDR283C,YFL033C,YPL153C,YBL016W,YDR247W,YAR018C,YDR477W,YDR490C,YDR507C,YER123W,YER129W,YFL029C,YBR059C,YFR014C,YGL158W,YGL180W,YGR040W,YGR052W,YBR097W,YBR160W,YBR274W,YHR030C,YHR079C,YHR082C,YHR102W,YHR135C,YCL024W,YIL035C,YIL095W,YJL095W,YJL128C,YJL141C,YJL164C,YJL165C,YJL187C,YJR059W,YKL048C,YKL101W,YKL139W,YKL166C,YKL171W,YCR008W,YLR113W,YLR248W,YDL017W,YMR001C,YMR139W,YMR216C,YNL020C,YNL154C,YDL028C,YAR019C,YNL307C,YNR031C,YOL016C,YOL045W,YDL108W,YOL128C,YOR061W,YOR231W,YOR233W,YOR267C,YPL026C,YPL031C,YPL140C,YDL159W,YPL203W,YPL204W,YPL209C,YPR054W,YPR161C
YAL019W	13	0.37865123	YNL031C,YNL030W,YBL002W,YBL003C,YBR009C,YDR224C,YBR010W,YDR225W,YLR141W,YOL012C,YKL049C,YER030W
YAL020C	2	0.499303301	YGL097W
YAL021C	10	0.740559817	YIL038C,YPR072W,YDL165W,YGR134W,YER068W,YCR093W,YNR052C,YNL288W,YBL019W
YAL024C	3	0.143955436	YGR238C,YCR038C
YAL026C	6	0.367376555	YDR093W,YEL031W,YMR162C,YIL048W,YER166W
YAL029C	3	0.075801334	YOR326W,YHR023W
YAL030W	5	0.175045342	YPL232W,YGR009C,YOR327C,YPR032W
YAL033W	10	1	YBL018C,YNL282W,YBR167C,YGR030C,YHR062C,YNL221C,YBR257W,YDR478W,YLR145W
YAL034W-A	4	0.245464414	YPL233W,YJR112W,YIR010W
YAL035W	3	0.156508015	YMR012W,YLR192C
YAL040C	12	0.301144568	YBR160W,YLR210W,YGR109C,YGR108W,YDL155W,YPR119W,YPR120C,YMR199W,YPL256C,YNL289W,YJL006C
YAL041W	5	0.1990403	YJL157C,YJR086W,YLR371W,YHR005C
YAL042W	6	0.431800147	YAL007C,YML067C,YGL200C,YML012W,YAR002C-A
YAL043C	20	0.779837805	YOR179C,YLR277C,YLR115W,YPR107C,YNL317W,YKR002W,YJR093C,YNL222W,YDR301W,YKL059C,YDR195W,YGR156W,YKL018W,YER133W,YDR228C,YMR061W,YBR050C,YDR028C,YKL193C
YAL047C	6	0.434920748	YBR109C,YNL225C,YPL124W,YKL042W,YDR356W
YAL051W	2	0.201962742	YOR363C
YAL053W	2	1	YPL221W
YAL054C	2	1	YLR153C
YAL056W	3	0.290389334	YGR238C,YOR371C
YAL062W	2	1	YOR375C
YAR002C-A	9	0.690341201	YAL007C,YGL200C,YML012W,YAL042W,YGL002W,YDL018C,YHR110W,YOR016C
YAR003W	7	0.398482291	YBR175W,YBR258C,YHR119W,YPL138C,YDR469W,YLR015W
YAR007C	4	0.585139382	YNL312W,YJL173C,YNL073W
YAR014C	21	0.345929205	YER133W,YLR310C,YBL007C,YER114C,YBL085W,YKL129C,YMR109W,YBR200W,YHR114W,YDR388W,YHL002W,YFR024C-A,YHR016C,YCR088W,YPR154W,YJL020C,YER118C,YDR162C,YDR028C,YKL193C
YAR018C	84	0.841762005	YBL105C,YGR188C,YHR205W,YNL298W,YOL113W,YGR092W,YDL101C,YHL007C,YDR122W,YLR096W,YLR362W,YNL161W,YDR283C,YFL033C,YPL153C,YBL016W,YDR247W,YAL017W,YDR477W,YDR490C,YDR507C,YER123W,YER129W,YFL029C,YBR059C,YFR014C,YGL158W,YGL180W,YGR040W,YGR052W,YBR097W,YBR160W,YBR274W,YHR030C,YHR079C,YHR082C,YHR102W,YHR135C,YCL024W,YIL035C,YIL095W,YJL095W,YJL128C,YJL141C,YJL164C,YJL165C,YJL187C,YJR059W,YKL048C,YKL101W,YKL139W,YKL166C,YKL171W,YCR008W,YLR113W,YLR248W,YDL017W,YMR001C,YMR139W,YMR216C,YNL020C,YNL154C,YDL028C,YAR019C,YNL307C,YNR031C,YOL016C,YOL045W,YDL108W,YOL128C,YOR061W,YOR231W,YOR233W,YOR267C,YPL026C,YPL031C,YPL140C,YDL159W,YPL203W,YPL204W,YPL209C,YPR054W,YPR161C
YAR019C	86	0.808507959	YJL076W,YBL105C,YNL161W,YPL204W,YBR160W,YOR061W,YDR477W,YIL035C,YPL209C,YDL017W,YDL101C,YOL113W,YDL108W,YNL298W,YLR096W,YPL153C,YGR188C,YLR362W,YHL007C,YFL033C,YDR283C,YBL016W,YDL159W,YKL166C,YJL164C,YPL203W,YKL139W,YBR097W,YPL031C,YPR161C,YFR014C,YNR031C,YOL016C,YOL045W,YGR052W,YOL128C,YDR247W,YPL026C,YER123W,YKL171W,YHR102W,YLR248W,YFL029C,YNL154C,YPR054W,YBR274W,YHR082C,YJL141C,YGL180W,YHR079C,YCR008W,YJL165C,YJR059W,YGL158W,YHR135C,YDR490C,YGR040W,YNL020C,YKL048C,YMR139W,YIL095W,YMR216C,YJL128C,YPL140C,YJL095W,YOR267C,YLR113W,YOR231W,YBR059C,YCL024W,YDL028C,YKL101W,YOR233W,YDR507C,YHR030C,YDR122W,YNL307C,YER129W,YJL187C,YMR001C,YGR092W,YAL017W,YAR018C,YIL106W,YFL034C-B
YAR033W	2	1	YGL051W
YAR042W	16	0.372867085	YDL019C,YLR425W,YPL115C,YER111C,YDR264C,YIR033W,YOR034C,YKL020C,YJR092W,YLR182W,YHR001W,YNL257C,YHR073W,YGR097W,YPL145C
